City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Juba,SS,93.51,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
268,Vila Do Maio,CV,83.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
269,Padang,ID,78.24,overcast clouds,-0.9492,100.3543,Mercure Padang
271,Nabire,ID,75.74,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
272,Nambucca Heads,AU,66.2,overcast clouds,-30.65,153.0,Marcel Towers Holiday Apartments
274,Kavieng,PG,80.82,light rain,-2.5744,150.7967,Nusa Island Retreat
277,Karratha,AU,86.85,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
279,Palauig,PH,78.21,overcast clouds,15.435,119.9045,Alperi Botique Resort
280,Ferkessedougou,CI,97.84,scattered clouds,9.6,-5.2,Hotel Chateau
281,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
285,Agadir,MA,75.65,clear sky,30.4202,-9.5982,Iberostar Founty Beach
290,Mariana,BR,68.05,overcast clouds,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
292,East London,ZA,83.34,few clouds,-33.0153,27.9116,Tu Casa
294,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
296,Lagos,NG,91.72,overcast clouds,6.5833,3.75,
297,Santa Maria,BR,97.2,broken clouds,-29.6842,-53.8069,Hotel Morotin
298,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Bonthe,SL,87.22,few clouds,7.5264,-12.505,Bonthe Holiday Village
303,Los Llanos De Aridane,ES,66.13,scattered clouds,28.6585,-17.9182,Valle Aridane
306,Palmerston,AU,76.98,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
309,Finschhafen,PG,79.65,overcast clouds,-6.6024,147.8681,Cossam Guest House
311,Kidal,ML,85.46,clear sky,18.4411,1.4078,
312,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
313,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
314,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
317,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
319,Caravelas,BR,84.72,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
320,Mazagao,BR,89.65,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
321,Cumana,VE,89.69,broken clouds,10.4635,-64.1775,Posada Acuarela Los Roques
322,Morondava,MG,82.36,light rain,-20.2833,44.2833,La Case Bambou
324,Tamandare,BR,86.72,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
326,Sola,VU,77.76,overcast clouds,-13.8833,167.55,Leumerus Bungalows
327,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
337,Aitape,PG,78.48,overcast clouds,-3.1374,142.3475,
339,Hualmay,PE,75.09,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
340,Isiro,CD,85.08,broken clouds,2.7739,27.616,Guest House Hewa Bora
344,Rawson,AR,78.51,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
345,Praya,CV,82.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
348,Mae Ramat,TH,67.24,clear sky,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
350,Benguela,AO,82.65,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
351,Resistencia,AR,73.45,overcast clouds,-27.4606,-58.9839,Niyat Urban Hotel
354,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
355,Honiara,SB,76.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
357,Cravo Norte,CO,90.07,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
358,Puerto Colombia,CO,86.09,broken clouds,10.9878,-74.9547,Hotel El Emigrante
359,Irati,BR,86.32,clear sky,-25.4672,-50.6511,Projetos e Execuções Elétricas Thoms Ltda
360,Umm Kaddadah,SD,74.34,clear sky,13.6017,26.6876,
361,Mombasa,KE,79.63,overcast clouds,-4.0547,39.6636,Marigold Guest House
363,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
