City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Lamu,KE,-2.2717,40.902,80.82,84,92,13.8,overcast clouds
318,Cedral,MX,23.8,-100.7333,56.7,55,2,3.33,clear sky
319,Caravelas,BR,-17.7125,-39.2481,84.72,61,96,9.82,overcast clouds
320,Mazagao,BR,-0.115,-51.2894,89.65,67,57,6.08,broken clouds
321,Cumana,VE,10.4635,-64.1775,89.69,62,83,18.84,broken clouds
322,Morondava,MG,-20.2833,44.2833,82.36,82,57,10.04,light rain
323,Srednekolymsk,RU,67.45,153.6833,-33.18,98,55,7.18,broken clouds
324,Tamandare,BR,-8.7597,-35.1047,86.72,60,25,13.0,scattered clouds
325,Krosno Odrzanskie,PL,52.0549,15.0988,38.84,63,68,5.32,broken clouds
326,Sola,VU,-13.8833,167.55,77.76,83,100,8.63,overcast clouds
327,Puerto Escondido,MX,15.85,-97.0667,77.83,88,0,6.91,clear sky
328,Kangaatsiaq,GL,68.3065,-53.4641,20.25,80,100,37.33,overcast clouds
329,Bojnurd,IR,37.4747,57.329,39.15,81,100,2.3,overcast clouds
330,Boguchany,RU,58.3814,97.4531,-18.15,100,21,3.09,few clouds
331,Imeni Poliny Osipenko,RU,52.4201,136.4853,12.0,94,100,15.21,light snow
332,San Jose,US,37.3394,-121.895,63.84,63,75,0.0,broken clouds
333,Mitchell,US,43.7094,-98.0298,6.12,66,100,8.05,overcast clouds
334,Shangqiu,CN,34.45,115.65,40.87,80,98,5.86,overcast clouds
335,Komsomolskiy,UZ,40.4272,71.7189,40.42,87,100,0.0,mist
336,Haverhill,US,42.7762,-71.0773,57.54,53,100,8.05,overcast clouds
337,Aitape,PG,-3.1374,142.3475,78.48,85,97,3.94,overcast clouds
338,Narsaq,GL,60.9167,-46.05,32.22,97,100,2.84,snow
339,Hualmay,PE,-11.0964,-77.6139,75.09,70,68,8.84,broken clouds
340,Isiro,CD,2.7739,27.616,85.08,28,69,1.72,broken clouds
341,Balakhta,RU,55.38,91.6,-15.83,99,52,2.42,broken clouds
342,Bayan,CN,46.0833,127.4,-14.75,100,66,3.6,broken clouds
343,Kirillov,RU,59.863,38.3813,21.13,93,73,7.78,broken clouds
344,Rawson,AR,-43.3002,-65.1023,78.51,20,94,1.45,overcast clouds
345,Praya,CV,14.9215,-23.5087,82.94,47,92,26.46,overcast clouds
